taxa	lat	lon
U	-3.0977	133.0195
LA	-7.3371	146.7159
MISM	-10.6703	152.7206
TROM	-8.6667	150.9167
XAD	-12.4634	130.8456
BUKS	-5.2384	154.6451
BOUS	-6.8333	155.7333
MA	-9.5773	160.1456
XAB	-27.4698	153.0251
XAA	-17.4547	146.0063
BAU	-5.75	132.73
KIMU	-5.5512	150.1387
YORU	-4.1666	152.4622
AMBG	-3.6255	128.1054
CERC	-3.0167	129.4864
MAKT	-0.3296	127.3975
XST	-1.3121	128.485
XFA	-3.5303	125.5439
SELR	-6.0957	120.5041
BUTL	-5.3096	122.9888
MUNA	-4.9016	122.6277
BAUS	-1.8479	120.5279
G	-7.9642	113.5667
WJAG	-6.6989	106.4403
XGH	-6.6989	106.4403
LAMG	-5.4254	105.258
GB	-8.3405	115.092
GL	-8.651	116.3249
SOB	-9.6993	119.9741
SOW	-8.7381	118.1171
SOS	-8.185	119.0693
SOF	-8.6574	121.0794
SU	-0.5897	101.3431
BE	4.4721	101.3801
BO	0.9619	114.5548
GW	-7.7852	126.3498
SOT	-9.8628	124.331
XGI	-7.5	131.5
PHEST	15.0087	120.7105
BULP	14.9968	121.171
XPHA	16.1509	121.879
PLE	11.7833	124.35
PHM	13.3642 121.9473
PHG	22.6621	121.4901
PHO	22.0436	121.5484
CAMP	4.4721	101.3801
MALX	4.1984	114.0429
LAOS	19.4484	103.1684
SIA	18.7953	98.962
KAN	14.7591	99.1013
SIAYN	22.0088	100.7971
TONGD	24.8109	113.5976
SIAHK	22.3193	114.1694
HAIT	19.5664	109.9497
TONQG	15	108.667
TONKT	15.0667	107.9833
TONQN	15.8097	107.3494
KHO	12.0479	102.3235
TONV	20	130
XB	4.4721	101.3801
SIBB	-1.426	98.9245
PAGB	-3.0084	100.3049
KLUB	2.0301	103.3185
XWIK	-1.6815	113.3824
XWIS	1.3627 109.3009	
EJAX	-8.1077	112.9224
XIN	-7.9642	113.5667
XPM	7.8706	125.0691
XP	6.9875	125.271
XPUL	10.833	124.833
XSP	16.5662	121.2626
XMNT	29.3253	95.3332
XMN	27.533	88.5122
XMNYN	25.083	98.7
XME	13.1365	75.6403
XFP	-8.4167	124.1167
XFS	-8.185	119.0693
XF	-8.6574	121.0794
GUMF	20	130
WETF	-7.7852	126.3498
XFT	-7.5	131.5
